1: Feb  7 03:17:01 intranet-server CRON[3745]: pam_unix(cron:session): session closed for user root
66: Feb  7 11:48:50 intranet-server sudo: jwilkinson : TTY=pts/1 ; PWD=/var/www/intranet.hallbrown.wilson.com/wp-content/uploads/2022/02 ; USER=root ; COMMAND=/sbin/iptables -L
67: Feb  7 11:48:50 intranet-server sudo: pam_unix(sudo:session): session opened for user root by (uid=0)
68: Feb  7 11:48:51 intranet-server sudo: pam_unix(sudo:session): session closed for user root
69: Feb  7 11:50:41 intranet-server sshd[6122]: Accepted publickey for ckhan from 10.182.193.78 port 38234 ssh2: RSA SHA256:8wFbiaYPevKS/wYKnePO20v0iymTcrRh4Kr+1uRS1UM
70: Feb  7 11:50:41 intranet-server sshd[6122]: pam_unix(sshd:session): session opened for user ckhan by (uid=0)
71: Feb  7 11:50:41 intranet-server systemd: pam_unix(systemd-user:session): session opened for user ckhan by (uid=0)
72: Feb  7 11:50:41 intranet-server systemd-logind[1119]: New session 416 of user ckhan.
73: Feb  7 12:09:01 intranet-server CRON[6282]: pam_unix(cron:session): session opened for user root by (uid=0)
74: Feb  7 12:09:01 intranet-server CRON[6282]: pam_unix(cron:session): session closed for user root
75: Feb  7 12:17:01 intranet-server CRON[6358]: pam_unix(cron:session): session opened for user root by (uid=0)
76: Feb  7 12:17:01 intranet-server CRON[6358]: pam_unix(cron:session): session closed for user root
77: Feb  7 12:39:01 intranet-server CRON[6362]: pam_unix(cron:session): session opened for user root by (uid=0)
78: Feb  7 12:39:01 intranet-server CRON[6362]: pam_unix(cron:session): session closed for user root
79: Feb  7 13:09:01 intranet-server CRON[6439]: pam_unix(cron:session): session opened for user root by (uid=0)
80: Feb  7 13:09:01 intranet-server CRON[6439]: pam_unix(cron:session): session closed for user root
81: Feb  7 13:17:01 intranet-server CRON[6516]: pam_unix(cron:session): session opened for user root by (uid=0)
82: Feb  7 13:17:01 intranet-server CRON[6516]: pam_unix(cron:session): session closed for user root
83: Feb  7 13:39:01 intranet-server CRON[6532]: pam_unix(cron:session): session opened for user root by (uid=0)
84: Feb  7 13:39:01 intranet-server CRON[6532]: pam_unix(cron:session): session closed for user root
85: Feb  7 14:09:01 intranet-server CRON[6609]: pam_unix(cron:session): session opened for user root by (uid=0)
86: Feb  7 14:09:01 intranet-server CRON[6609]: pam_unix(cron:session): session closed for user root
87: Feb  7 14:17:01 intranet-server CRON[6693]: pam_unix(cron:session): session opened for user root by (uid=0)
88: Feb  7 14:17:01 intranet-server CRON[6693]: pam_unix(cron:session): session closed for user root
89: Feb  7 14:39:01 intranet-server CRON[6703]: pam_unix(cron:session): session opened for user root by (uid=0)
90: Feb  7 14:39:01 intranet-server CRON[6703]: pam_unix(cron:session): session closed for user root
91: Feb  7 15:09:01 intranet-server CRON[6799]: pam_unix(cron:session): session opened for user root by (uid=0)
92: Feb  7 15:09:01 intranet-server CRON[6799]: pam_unix(cron:session): session closed for user root
93: Feb  7 15:17:01 intranet-server CRON[6870]: pam_unix(cron:session): session opened for user root by (uid=0)
