1: Feb  6 06:25:07 intranet-server CRON[31789]: pam_unix(cron:session): session closed for user root
72: Feb  6 17:39:01 intranet-server CRON[2089]: pam_unix(cron:session): session opened for user root by (uid=0)
73: Feb  6 17:39:01 intranet-server CRON[2089]: pam_unix(cron:session): session closed for user root
74: Feb  6 18:09:01 intranet-server CRON[2172]: pam_unix(cron:session): session opened for user root by (uid=0)
75: Feb  6 18:09:01 intranet-server CRON[2172]: pam_unix(cron:session): session closed for user root
76: Feb  6 18:17:01 intranet-server CRON[2245]: pam_unix(cron:session): session opened for user root by (uid=0)
77: Feb  6 18:17:01 intranet-server CRON[2245]: pam_unix(cron:session): session closed for user root
78: Feb  6 18:39:01 intranet-server CRON[2255]: pam_unix(cron:session): session opened for user root by (uid=0)
79: Feb  6 18:39:01 intranet-server CRON[2255]: pam_unix(cron:session): session closed for user root
80: Feb  6 19:09:01 intranet-server CRON[2333]: pam_unix(cron:session): session opened for user root by (uid=0)
81: Feb  6 19:09:01 intranet-server CRON[2333]: pam_unix(cron:session): session closed for user root
82: Feb  6 19:17:01 intranet-server CRON[2406]: pam_unix(cron:session): session opened for user root by (uid=0)
83: Feb  6 19:17:01 intranet-server CRON[2406]: pam_unix(cron:session): session closed for user root
84: Feb  6 19:39:01 intranet-server CRON[2411]: pam_unix(cron:session): session opened for user root by (uid=0)
85: Feb  6 19:39:01 intranet-server CRON[2411]: pam_unix(cron:session): session closed for user root
86: Feb  6 20:09:01 intranet-server CRON[2486]: pam_unix(cron:session): session opened for user root by (uid=0)
87: Feb  6 20:09:01 intranet-server CRON[2486]: pam_unix(cron:session): session closed for user root
88: Feb  6 20:17:01 intranet-server CRON[2557]: pam_unix(cron:session): session opened for user root by (uid=0)
89: Feb  6 20:17:01 intranet-server CRON[2557]: pam_unix(cron:session): session closed for user root
90: Feb  6 20:39:01 intranet-server CRON[2562]: pam_unix(cron:session): session opened for user root by (uid=0)
91: Feb  6 20:39:01 intranet-server CRON[2562]: pam_unix(cron:session): session closed for user root
92: Feb  6 21:09:01 intranet-server CRON[2635]: pam_unix(cron:session): session opened for user root by (uid=0)
93: Feb  6 21:09:01 intranet-server CRON[2635]: pam_unix(cron:session): session closed for user root
94: Feb  6 21:17:01 intranet-server CRON[2708]: pam_unix(cron:session): session opened for user root by (uid=0)
