1: Feb  7 13:09:01 intranet-server CRON[6439]: pam_unix(cron:session): session closed for user root
31: Feb  7 18:09:01 intranet-server CRON[7328]: pam_unix(cron:session): session closed for user root
32: Feb  7 18:17:01 intranet-server CRON[7401]: pam_unix(cron:session): session opened for user root by (uid=0)
33: Feb  7 18:17:01 intranet-server CRON[7401]: pam_unix(cron:session): session closed for user root
34: Feb  7 18:39:01 intranet-server CRON[7417]: pam_unix(cron:session): session opened for user root by (uid=0)
35: Feb  7 18:39:01 intranet-server CRON[7417]: pam_unix(cron:session): session closed for user root
36: Feb  7 19:09:02 intranet-server CRON[7503]: pam_unix(cron:session): session opened for user root by (uid=0)
37: Feb  7 19:09:02 intranet-server CRON[7503]: pam_unix(cron:session): session closed for user root
38: Feb  7 19:17:01 intranet-server CRON[7578]: pam_unix(cron:session): session opened for user root by (uid=0)
39: Feb  7 19:17:01 intranet-server CRON[7578]: pam_unix(cron:session): session closed for user root
40: Feb  7 19:39:01 intranet-server CRON[7589]: pam_unix(cron:session): session opened for user root by (uid=0)
41: Feb  7 19:39:01 intranet-server CRON[7589]: pam_unix(cron:session): session closed for user root
42: Feb  7 20:09:01 intranet-server CRON[7665]: pam_unix(cron:session): session opened for user root by (uid=0)
43: Feb  7 20:09:01 intranet-server CRON[7665]: pam_unix(cron:session): session closed for user root
44: Feb  7 20:17:01 intranet-server CRON[7748]: pam_unix(cron:session): session opened for user root by (uid=0)
45: Feb  7 20:17:01 intranet-server CRON[7748]: pam_unix(cron:session): session closed for user root
46: Feb  7 20:39:01 intranet-server CRON[7758]: pam_unix(cron:session): session opened for user root by (uid=0)
47: Feb  7 20:39:01 intranet-server CRON[7758]: pam_unix(cron:session): session closed for user root
48: Feb  7 21:09:01 intranet-server CRON[7839]: pam_unix(cron:session): session opened for user root by (uid=0)
49: Feb  7 21:09:01 intranet-server CRON[7839]: pam_unix(cron:session): session closed for user root
50: Feb  7 21:17:01 intranet-server CRON[7910]: pam_unix(cron:session): session opened for user root by (uid=0)
51: Feb  7 21:17:01 intranet-server CRON[7910]: pam_unix(cron:session): session closed for user root
52: Feb  7 21:39:01 intranet-server CRON[7914]: pam_unix(cron:session): session opened for user root by (uid=0)
53: Feb  7 21:39:01 intranet-server CRON[7914]: pam_unix(cron:session): session closed for user root
54: Feb  7 22:09:01 intranet-server CRON[7989]: pam_unix(cron:session): session opened for user root by (uid=0)
55: Feb  7 22:09:01 intranet-server CRON[7989]: pam_unix(cron:session): session closed for user root
56: Feb  7 22:17:01 intranet-server CRON[8063]: pam_unix(cron:session): session opened for user root by (uid=0)
57: Feb  7 22:17:01 intranet-server CRON[8063]: pam_unix(cron:session): session closed for user root
58: Feb  7 22:39:01 intranet-server CRON[8129]: pam_unix(cron:session): session opened for user root by (uid=0)
59: Feb  7 22:39:01 intranet-server CRON[8129]: pam_unix(cron:session): session closed for user root
60: Feb  7 23:09:01 intranet-server CRON[8207]: pam_unix(cron:session): session opened for user root by (uid=0)
61: Feb  7 23:09:01 intranet-server CRON[8207]: pam_unix(cron:session): session closed for user root
62: Feb  7 23:17:01 intranet-server CRON[8283]: pam_unix(cron:session): session opened for user root by (uid=0)
63: Feb  7 23:17:01 intranet-server CRON[8283]: pam_unix(cron:session): session closed for user root
64: Feb  7 23:39:01 intranet-server CRON[8291]: pam_unix(cron:session): session opened for user root by (uid=0)
65: Feb  7 23:39:01 intranet-server CRON[8291]: pam_unix(cron:session): session closed for user root
66: Feb  8 00:09:01 intranet-server CRON[8367]: pam_unix(cron:session): session opened for user root by (uid=0)
67: Feb  8 00:09:01 intranet-server CRON[8367]: pam_unix(cron:session): session closed for user root
68: Feb  8 00:17:01 intranet-server CRON[8440]: pam_unix(cron:session): session opened for user root by (uid=0)
69: Feb  8 00:17:01 intranet-server CRON[8440]: pam_unix(cron:session): session closed for user root
70: Feb  8 00:39:01 intranet-server CRON[8447]: pam_unix(cron:session): session opened for user root by (uid=0)
71: Feb  8 00:39:01 intranet-server CRON[8447]: pam_unix(cron:session): session closed for user root
72: Feb  8 01:09:01 intranet-server CRON[8528]: pam_unix(cron:session): session opened for user root by (uid=0)
73: Feb  8 01:09:01 intranet-server CRON[8528]: pam_unix(cron:session): session closed for user root
74: Feb  8 01:17:01 intranet-server CRON[8615]: pam_unix(cron:session): session opened for user root by (uid=0)
75: Feb  8 01:17:01 intranet-server CRON[8615]: pam_unix(cron:session): session closed for user root
76: Feb  8 01:39:01 intranet-server CRON[8624]: pam_unix(cron:session): session opened for user root by (uid=0)
77: Feb  8 01:39:01 intranet-server CRON[8624]: pam_unix(cron:session): session closed for user root
78: Feb  8 02:09:01 intranet-server CRON[8699]: pam_unix(cron:session): session opened for user root by (uid=0)
79: Feb  8 02:09:01 intranet-server CRON[8699]: pam_unix(cron:session): session closed for user root
80: Feb  8 02:17:01 intranet-server CRON[8778]: pam_unix(cron:session): session opened for user root by (uid=0)
81: Feb  8 02:17:01 intranet-server CRON[8778]: pam_unix(cron:session): session closed for user root
82: Feb  8 02:39:01 intranet-server CRON[8783]: pam_unix(cron:session): session opened for user root by (uid=0)
83: Feb  8 02:39:01 intranet-server CRON[8783]: pam_unix(cron:session): session closed for user root
84: Feb  8 03:09:01 intranet-server CRON[8858]: pam_unix(cron:session): session opened for user root by (uid=0)
85: Feb  8 03:09:01 intranet-server CRON[8858]: pam_unix(cron:session): session closed for user root
86: Feb  8 03:17:01 intranet-server CRON[8931]: pam_unix(cron:session): session opened for user root by (uid=0)
87: Feb  8 03:17:01 intranet-server CRON[8931]: pam_unix(cron:session): session closed for user root
88: Feb  8 03:39:01 intranet-server CRON[8936]: pam_unix(cron:session): session opened for user root by (uid=0)
89: Feb  8 03:39:01 intranet-server CRON[8936]: pam_unix(cron:session): session closed for user root
90: Feb  8 04:09:01 intranet-server CRON[9016]: pam_unix(cron:session): session opened for user root by (uid=0)
91: Feb  8 04:09:01 intranet-server CRON[9016]: pam_unix(cron:session): session closed for user root
92: Feb  8 04:17:01 intranet-server CRON[9159]: pam_unix(cron:session): session opened for user root by (uid=0)
93: Feb  8 04:17:01 intranet-server CRON[9159]: pam_unix(cron:session): session closed for user root
94: Feb  8 04:39:01 intranet-server CRON[9659]: pam_unix(cron:session): session opened for user root by (uid=0)
