1: Feb  6 22:17:01 intranet-server CRON[21451]: pam_unix(cron:session): session closed for user root
40: Feb  7 05:09:01 intranet-server CRON[22598]: pam_unix(cron:session): session opened for user root by (uid=0)
41: Feb  7 05:09:01 intranet-server CRON[22598]: pam_unix(cron:session): session closed for user root
42: Feb  7 05:17:01 intranet-server CRON[22668]: pam_unix(cron:session): session opened for user root by (uid=0)
43: Feb  7 05:17:01 intranet-server CRON[22668]: pam_unix(cron:session): session closed for user root
44: Feb  7 05:39:01 intranet-server CRON[22675]: pam_unix(cron:session): session opened for user root by (uid=0)
45: Feb  7 05:39:01 intranet-server CRON[22675]: pam_unix(cron:session): session closed for user root
46: Feb  7 06:09:01 intranet-server CRON[22864]: pam_unix(cron:session): session opened for user root by (uid=0)
47: Feb  7 06:09:01 intranet-server CRON[22864]: pam_unix(cron:session): session closed for user root
48: Feb  7 06:17:01 intranet-server CRON[22934]: pam_unix(cron:session): session opened for user root by (uid=0)
49: Feb  7 06:17:01 intranet-server CRON[22934]: pam_unix(cron:session): session closed for user root
50: Feb  7 06:25:02 intranet-server CRON[22939]: pam_unix(cron:session): session opened for user root by (uid=0)
51: Feb  7 06:25:16 intranet-server CRON[22939]: pam_unix(cron:session): session closed for user root
52: Feb  7 06:39:01 intranet-server CRON[23081]: pam_unix(cron:session): session opened for user root by (uid=0)
53: Feb  7 06:39:01 intranet-server CRON[23081]: pam_unix(cron:session): session closed for user root
54: Feb  7 07:09:01 intranet-server CRON[23145]: pam_unix(cron:session): session opened for user root by (uid=0)
55: Feb  7 07:09:01 intranet-server CRON[23145]: pam_unix(cron:session): session closed for user root
56: Feb  7 07:17:01 intranet-server CRON[23229]: pam_unix(cron:session): session opened for user root by (uid=0)
57: Feb  7 07:17:01 intranet-server CRON[23229]: pam_unix(cron:session): session closed for user root
58: Feb  7 07:39:01 intranet-server CRON[23241]: pam_unix(cron:session): session opened for user root by (uid=0)
59: Feb  7 07:39:01 intranet-server CRON[23241]: pam_unix(cron:session): session closed for user root
60: Feb  7 08:09:01 intranet-server CRON[23313]: pam_unix(cron:session): session opened for user root by (uid=0)
61: Feb  7 08:09:02 intranet-server CRON[23313]: pam_unix(cron:session): session closed for user root
62: Feb  7 08:17:01 intranet-server CRON[23379]: pam_unix(cron:session): session opened for user root by (uid=0)
63: Feb  7 08:17:01 intranet-server CRON[23379]: pam_unix(cron:session): session closed for user root
64: Feb  7 08:39:01 intranet-server CRON[23387]: pam_unix(cron:session): session opened for user root by (uid=0)
65: Feb  7 08:39:01 intranet-server CRON[23387]: pam_unix(cron:session): session closed for user root
66: Feb  7 09:09:01 intranet-server CRON[23470]: pam_unix(cron:session): session opened for user root by (uid=0)
67: Feb  7 09:09:01 intranet-server CRON[23470]: pam_unix(cron:session): session closed for user root
68: Feb  7 09:17:01 intranet-server CRON[23543]: pam_unix(cron:session): session opened for user root by (uid=0)
69: Feb  7 09:17:01 intranet-server CRON[23543]: pam_unix(cron:session): session closed for user root
70: Feb  7 09:39:01 intranet-server CRON[23550]: pam_unix(cron:session): session opened for user root by (uid=0)
